,PREFERRED_NAME,SMILES,SIZE,standardized SMILES,INCHIKEY
148,6:2 FTOH sulfate,C(COS(=O)(=O)[O-])C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,61,O=S(=O)([O-])OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,BGJBRLCWYHDOSY-UHFFFAOYSA-M
149,6:2 FTI,C(CI)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,48,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,NVVZEKTVIXIUKW-UHFFFAOYSA-N
150,6:2 FTUI,C(=C\I)/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,51,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CI,WDWNMIBWWPZNJK-UHFFFAOYSA-N
151,N-Me-6:2 FTSAm-PrA,CN(CCC(=O)O)S(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,66,CN(CCC(=O)O)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KYFUWFCEYKEQNS-UHFFFAOYSA-N
152,6:2 FTSAm-EtOH,C(CS(=O)(=O)NCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,60,O=S(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NCCO,BLIWNMRWJWOCKX-UHFFFAOYSA-N
153,N-Et-6:2 FTSAm,CCNS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,57,CCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,YNFDMFIVKADZBI-UHFFFAOYSA-N
154,6:2 FTSAm-ForAL,C(CS(=O)(=O)NC=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,60,O=CNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DCBYAGLGFZQCES-UHFFFAOYSA-N
155,6:2 FTUAA,C/[N+](=C\CCNS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)/C,70,C[N+](C)=CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,JGPZALKFXRCUOS-UHFFFAOYSA-N
156,6:2 FTSAm-AcA,C(CS(=O)(=O)NCC(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,64,O=C(O)CNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,QINMVTQAAHMAJO-UHFFFAOYSA-N
157,6:2 FTSAm-Conjunct-1,CCC(C)C(C(=O)NS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N,70,CCC(C)C(N)C(=O)NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ZMCVKRCIDDWZGY-UHFFFAOYSA-N
158,6:2 FTSAm-Conjunct-2,CCCC(C(=O)NS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N,67,CCCC(N)C(=O)NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,JHNORKWWCGWRGL-UHFFFAOYSA-N
159,6:2 FTNO,C[N+](C)(CCCNS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-],72,C[N+](C)([O-])CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KBDMGVIUNQWTND-UHFFFAOYSA-N
160,6:2 FTSAm-AcAL,C(CS(=O)(=O)NCC=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,61,O=CCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FYLWWOGTNUIFQX-UHFFFAOYSA-N
161,5:3 FTU amide,C(=C\C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)/C(=O)N,49,NC(=O)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,BPLMTYVELYZDNI-UHFFFAOYSA-N
