,Unnamed: 0,PREFERRED_NAME,SMILES,SIZE,SIZE_CATEGORY,standardized SMILES,INCHIKEY,TSNE1,TSNE2
329,325,N-EtFOSE,CCN(CCO)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,74,big,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HUFHNYZNTFSKCT-UHFFFAOYSA-N,30.128584426192496,1.6889907798757602
330,326,N-EtFOSA,CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,69,big,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCEKAJIANROZEO-UHFFFAOYSA-N,-6.021437665,-9.937238899
331,327,"Hexamethylene-1,6-di(8:2 fluorotelomer urethane)",C(CCCNC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCNC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,140,very big,O=C(NCCCCCCNC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ZZPHVBISPDCCKL-UHFFFAOYSA-N,-33.32331682,-6.345660811
332,328,PFOSI,C(C(C(C(C(F)(F)S(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,65,big,O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DFCYBFLXCKGZML-UHFFFAOYSA-N,-0.576911055,-25.55790006
333,329,PFHxSAmS-Primary Amine,C(CN)CNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,59,medium,NCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HNNXJRYSGJHZSQ-UHFFFAOYSA-N,-29.98390457,-7.087684303
334,330,PFHxSAmS-Aldehyde,C(CNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C=O,60,big,O=CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PVZBVAJZWYEMRF-UHFFFAOYSA-N,-30.0913934,-6.832116722
335,331,PFHxSAmS,C[N+](C)(C)CCCNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,67,big,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OWBYGXNKMFLAMD-UHFFFAOYSA-N,24.95242257480976,0.7004172367493622
336,332,PFHxSAmS-Secondary Amine,CNCCCNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,58,medium,CNCCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,RZNOCGYUCRRPCI-UHFFFAOYSA-N,-24.34670685,-9.989110968
337,333,PFOANO_TP_457.0159,C(CO)NC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,61,big,O=C(NCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ZATOFJIVPAZTIE-UHFFFAOYSA-N,17.875840001373035,-2.435652097
338,334,PFOANO_TP_455.00025,C(C=O)NC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62,big,O=CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,VCWMBPUCYNETON-UHFFFAOYSA-N,-8.78807705,3.8931556788747437
339,335,PFOANO_TP_412.98969,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N,58,medium,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UGMUDSKJLAUMTC-UHFFFAOYSA-N,16.159615325866458,-2.742726698
340,336,PFOANO_TP_470.99517,C(C(=O)O)NC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,65,big,O=C(O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KZYDHGQYENTJQK-UHFFFAOYSA-N,22.052887701992415,-14.08891111
341,337,PFOANO_TP_469.0159,C(CNC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C=O,63,big,O=CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KOYKTJBGTDDHHT-UHFFFAOYSA-N,32.43343025317658,1.8510747215655066
342,338,PFOANO_TP_441.02099,CCNC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,58,medium,CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,XSXMZXBMPHWDLH-UHFFFAOYSA-N,-10.50263113,-9.425718252
343,339,Hydroxylated-PFOSB_1,C[N+](C)(CC(C[N-]S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)CC(=O)[O-],96,very big,C[N+](C)(CC(=O)[O-])CC(O)C[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,AABMKJQMTYBMPV-UHFFFAOYSA-M,29.863274351626345,0.5633527690756129
344,340,Sulfonamide Primary Amine,C(C[NH3+])C[N-]S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,81,big,[NH3+]CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OEGLTCYBZVDGMA-UHFFFAOYSA-O,-9.214567245,7.846124473297915
345,341,N-demethylated-PFOSB,C[NH+](CCC[N-]S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)[O-],91,very big,C[NH+](CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],SVYSGDHLSWDNJS-UHFFFAOYSA-N,32.33583329086456,1.883912625378767
346,342,Hydroxylated-PFOSB_2,C[N+](C)(CC(=O)[O-])C(CC[N-]S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,96,very big,C[N+](C)(CC(=O)[O-])C(O)CC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,JDHGVJPRLJEAKF-UHFFFAOYSA-M,-29.20322616,-18.58647905
347,343,PFOSI,C(C(C(C(C(F)(F)[S-](=O)=O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,69,big,O=[S-](=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HTDKCBYCZDXXBD-UHFFFAOYSA-N,14.918298130378354,-2.912416873
348,344,Hydroxylated-PFOSB_3,C[N+](C)(CCC([N-]S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)CC(=O)[O-],96,very big,C[N+](C)(CCC(O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],RJCOUKFPNHQSDG-UHFFFAOYSA-M,27.284807014703816,17.050310275461612
