,Unnamed: 0,SMILES,standardized SMILES,INCHIKEY,TSNE1,TSNE2
212,208,CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,CC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LWKNIRKCYPKSGM-UHFFFAOYSA-N,24.216690946175806,-5.228468021353233
213,209,C(CC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HLBRGVKRZQSQHB-UHFFFAOYSA-N,14.028314632478095,-9.296715114818
214,210,CC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,CC(=O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,AUPTYBLOKZHSKH-UHFFFAOYSA-N,32.109031692455545,2.458240810095134
215,211,C(C=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,O=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KDGIOTBLYAPNRR-UHFFFAOYSA-N,9.873576776881494,-12.667792704643855
216,212,C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)C(=O)O,O=C(O)CC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DXTFHOPCXPRYCP-UHFFFAOYSA-N,-33.784064326843584,-6.643914464415255
217,213,C(C(=O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,XTBXSCIWOVSSGB-UHFFFAOYSA-N,9.98895161754211,-12.847691848411214
218,214,C(C(=O)O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,O=C(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CLSJUWFCSPJRFC-UHFFFAOYSA-N,-32.32223284077768,-6.424859047685421
219,215,CC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LFMZSQGESVNRLL-UHFFFAOYSA-N,17.666450493183223,-2.918594250893414
220,216,C=CC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,RXZWAMINHJDYKW-UHFFFAOYSA-N,8.77994616727675,8.561920687619823
221,217,C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)C(=O)O,O=C(O)CC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CMTAMCYWGPMWNV-UHFFFAOYSA-N,31.79062792049317,2.620716194921469
222,218,C(C(=O)[O-])C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,O=C([O-])CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,XTBXSCIWOVSSGB-UHFFFAOYSA-M,16.998161910916256,-10.797160082808727
223,219,C(C(C(C(C(F)(F)OS(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,O=S(=O)([O-])OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,YQJDGOJKITVCSR-UHFFFAOYSA-M,-11.671907687637825,4.782579242287151
224,220,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-],O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UZUFPBIDKMEQEQ-UHFFFAOYSA-M,-7.610391487224819,6.632917438261733
225,221,C(CC(=O)NC(CS/C(=C\C(=O)[O-])/C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)NCC(=O)O)C(C(=O)O)N,NC(CCC(=O)NC(CSC(=CC(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NCC(=O)O)C(=O)O,ZOYZDBBMBCZXPK-UHFFFAOYSA-M,30.07401291605,17.877295072188684
226,222,CC1(C(C(=O)O)OC(C)(C(C)(C1(C)O)O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,CC1(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(C(=O)O)C(C)(O)C(C)(O)C1(C)O,MSLDIBGODORUOA-UHFFFAOYSA-N,17.926483765676387,-21.693481788587167
227,223,C(CC(=O)NC(CSC(CC=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)NCC(=O)O)C(C(=O)O)N,NC(CCC(=O)NC(CSC(CC=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NCC(=O)O)C(=O)O,PLHCDLAVYCBKFR-UHFFFAOYSA-N,5.560980732081956,2.638634181984421
228,224,C(=C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)C=O,O=CC=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LQERGGUGOIACQD-UHFFFAOYSA-N,-2.1776569671891255,10.707165573460816
229,225,C(C=O)C(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,O=CCC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,RQIOTBIKFNCZMF-UHFFFAOYSA-N,29.188814984527962,-7.321407583235038
230,226,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)(=O)CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DEONGGUSFBJEHM-UHFFFAOYSA-N,-32.588478069934204,-1.2578147334104721
231,227,CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,JPUVFTMCVQSFAF-UHFFFAOYSA-N,-8.919306842097548,4.033330491698715
232,228,C(CS(=O)(=O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ALVYVCQIFHTIRD-UHFFFAOYSA-N,26.802620398965168,16.768706986477426
233,229,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,XKGMPVQXAFQLEK-UHFFFAOYSA-N,-8.98866047336013,4.175350597695717
234,230,C(COP(=O)(O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MIABSAQIFYEDJP-UHFFFAOYSA-N,6.907516436712347,-22.958868818616878
