PREFERRED_NAME,INCHIKEY,SMILES
"1,2,4-Trifluoro-3,5-bis(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-nitrobenzene",PVICYOGEJBAIKN-UHFFFAOYSA-N,c1(c(c(c(c(c1F)F)N(=O)=O)C(C(F)(F)F)(C(F)(F)F)F)F)C(C(F)(F)F)(C(F)(F)F)F
"1,4-Dichloro-2-(1,1,2,3,3,3-hexafluoropropoxy)-5-nitrobenzene",WDTRKHSHZIJORU-UHFFFAOYSA-N,c1c(c(cc(c1N(=O)=O)Cl)OC(C(C(F)(F)F)F)(F)F)Cl
"1,2,4,5-Tetrafluoro-3-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-nitrobenzene",AIMRZXIGISGIMY-UHFFFAOYSA-N,c1(c(c(c(c(c1F)F)N(=O)=O)F)F)C(C(F)(F)F)(C(F)(F)F)F
"1H,2H,2H-perfluorooctanal (2,4-dinitrophenyl)hydrazone",UBMXHZGJQACURD-UHFFFAOYSA-N,c1cc(c(cc1N(=O)=O)N(=O)=O)N=NCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"2,2,3,3,4,4,5,5,5-Nonafluoropentyl 2,5,7-trinitro-9-oxo-9H-fluorene-4-carboxylate",WWFIKWYKKMDAQB-UHFFFAOYSA-N,c1c(cc(c2c1C(=O)c1cc(cc(c21)N(=O)=O)N(=O)=O)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O
"1-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-3,5-dinitrobenzene",DKVGVNPCZVNONQ-UHFFFAOYSA-N,c1c(cc(cc1N(=O)=O)N(=O)=O)C(C(F)(F)F)(C(F)(F)F)F
1-Nitro-3-(undecafluoropentyl)benzene,UKBIKHOGARYBLY-UHFFFAOYSA-N,c1cc(cc(c1)N(=O)=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
1-Nitro-3-(nonafluorobutyl)benzene,XSVUTHPDIIPLTQ-UHFFFAOYSA-N,c1cc(cc(c1)N(=O)=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
"Butanamide, N-(2-bromo-4-nitrophenyl)-2,2,3,3,4,4,4-heptafluoro-",LQYYVICTYPJDDJ-UHFFFAOYSA-N,c1cc(c(cc1N(=O)=O)Br)N=C(C(C(C(F)(F)F)(F)F)(F)F)O
3-Nitrophenyl heptafluorobutanoate,AVFHBJSMSJZVFE-UHFFFAOYSA-N,c1cc(cc(c1)OC(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O
"2,2,3,3,4,4,4-Heptafluoro-1-(4-nitrophenyl)butan-1-one",ZRKXYIFJBYTAAB-UHFFFAOYSA-N,c1cc(ccc1C(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O
"1-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-4-nitrobenzene",ZNSFRNFHEGRVFR-UHFFFAOYSA-N,c1cc(ccc1C(C(F)(F)F)(C(F)(F)F)F)N(=O)=O
1-Nitro-4-(nonafluorobutyl)benzene,VGHCHTBEJCZDFH-UHFFFAOYSA-N,c1cc(ccc1C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O
1-(Heptafluoropropyl)-4-nitrobenzene,AUJMMOWFPBJGCY-UHFFFAOYSA-N,c1cc(ccc1C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O
"[N(E),S(S)]-N-(4-nitrophenyl)methyleneperfluorobutanesulfinamide",GYLVKWUPZMTHBJ-UHFFFAOYSA-N,c1cc(ccc1C=NS(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoro-N-(4-nitrophenyl)nonanamide",CUOUHXHRFRMHRU-UHFFFAOYSA-N,c1cc(ccc1NC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N(=O)=O
